room_id,pixel_count,area_m2
1,1788,4.4700
2,17735,44.3375
3,226,0.5650
4,5702,14.2550
5,6082,15.2050
6,3903,9.7575
7,2148,5.3700
8,1979,4.9475
9,448,1.1200
